date,channel,spend,cpm,impressions,clicks,conversions,est_reach,dow,is_weekend,reach_pct,reach_people
2024-01-01,Display,17034.60016344737,8.0,2129325.020430921,39800.7072995428,16.688201265978574,193917.5998768555,0,0,0.15343144964350097,153431.44964350096
2024-01-02,Display,12958.564783030564,8.0,1619820.5978788205,32100.6461217658,11.707532161129594,151922.24047382487,1,0,0.11963483058184413,119634.83058184413
2024-01-03,Display,15738.229634509213,8.0,1967278.704313652,41406.09097482529,19.405268799341343,180838.50293811611,2,0,0.14286869282027334,142868.69282027334
2024-01-04,Display,18866.248209359816,8.0,2358281.026169977,50526.8997734552,15.448919009879925,211968.9148532693,3,0,0.16806684253362691,168066.8425336269
2024-01-05,Display,12580.800920230784,8.0,1572600.115028848,31936.89056532059,24.994963741703003,147898.55838341417,4,0,0.11641451614409624,116414.51614409624
2024-01-06,Display,11968.148989150546,8.0,1496018.6236438183,28407.729070698755,22.13128767398464,141324.34200283495,5,1,0.11115942008819718,111159.42008819718
2024-01-07,Display,14120.2982498432,8.0,1765037.2812304,30292.259619095905,16.366081319515725,164154.31729465807,6,1,0.12944347659773703,129443.47659773703
2024-01-08,Display,14278.64638207079,8.0,1784830.7977588489,36037.57716388899,17.819953066286374,165805.14394129306,0,0,0.13076943106267266,130769.43106267267
2024-01-09,Display,13111.966297064251,8.0,1638995.7871330315,27142.91699948128,17.86859374586924,153549.67038464258,1,0,0.12093819365935783,120938.19365935783
2024-01-10,Display,15974.560478431587,8.0,1996820.0598039485,42197.54597557118,12.45068219384216,183241.842692827,2,0,0.14480708323150165,144807.08323150166
2024-01-11,Display,17462.076032376863,8.0,2182759.504047108,38612.19474826929,23.10221241706445,198174.94822886676,3,0,0.15687714116863907,156877.14116863906
2024-01-12,Display,16037.590497487572,8.0,2004698.8121859464,42542.2731413777,18.72352489107381,183881.3815123785,4,0,0.1453230902056161,145323.09020561608
2024-01-13,Display,9319.322907428008,8.0,1164915.363428501,22249.099812037897,20.56531940287316,112194.77802473214,5,1,0.0879698960654804,87969.89606548041
2024-01-14,Display,9833.739870160907,8.0,1229217.4837701137,22269.85629671859,19.120654870486145,117942.8281609421,6,1,0.09253371173204013,92533.71173204013
2024-01-15,Display,15307.028022698709,8.0,1913378.5028373385,46182.701823659336,9.05138270776552,176431.4328010882,0,0,0.13931717906789984,139317.17906789985
2024-01-16,Display,23039.79033496997,8.0,2879973.7918712464,60025.79985474768,10.83110752030569,251293.91374680644,1,0,0.20018915421883954,200189.15421883954
2024-01-17,Display,16518.681416103584,8.0,2064835.177012948,35367.87508509109,23.42228817990869,188742.9369475521,2,0,0.14924826503834573,149248.26503834574
2024-01-18,Display,14052.86943227565,8.0,1756608.679034456,30133.47124576968,26.06683756388346,163450.16047731074,3,0,0.1288780529260854,128878.0529260854
2024-01-19,Display,13555.0740117684,8.0,1694384.25147105,33586.92165287511,21.01682649180964,158229.60416158513,4,0,0.12468901552136424,124689.01552136424
2024-01-20,Display,16338.808072368927,8.0,2042351.009046116,38001.48428242213,23.829138515562903,186929.372672164,5,1,0.14778345777545648,147783.45777545648
2024-01-21,Display,14241.777553372896,8.0,1780222.1941716122,34815.4703041281,24.012334953754145,165421.12549528843,6,1,0.13046093814198442,130460.93814198443
2024-01-22,Display,11227.434819376118,8.0,1403429.3524220148,24167.320547888263,22.50629238709434,133294.81909428045,0,0,0.10475187765103877,104751.87765103877
2024-01-23,Display,12886.032926985095,8.0,1610754.115873137,28974.96669393909,18.650864047703323,151151.44833562945,1,0,0.11901769900691983,119017.69900691984
2024-01-24,Display,14928.689220364917,8.0,1866086.1525456144,32908.50850674695,18.15195685557243,172541.09655821,2,0,0.13618525476220275,136185.25476220276
2024-01-25,Display,12101.213310542,8.0,1512651.66381775,29720.64030833948,19.590494924734,142757.36272858814,3,0,0.1123042190538171,112304.2190538171
2024-01-26,Display,12153.252519173631,8.0,1519156.5648967042,30223.273219743605,18.83167595141046,143317.01535967772,4,0,0.11275141289321092,112751.41289321092
2024-01-27,Display,19641.81116990048,8.0,2455226.39623756,41258.656108754745,17.500575688838502,219464.06671004836,5,1,0.17416354182672597,174163.54182672597
2024-01-28,Display,16246.177544923468,8.0,2030772.1931154332,37560.402398559374,27.052318411007324,185993.519350064,6,1,0.14702783086769797,147027.83086769798
2024-01-29,Display,8404.72692591332,8.0,1050590.865739165,18155.06462146668,5.138799602281926,101864.98839249904,0,0,0.0797829383468808,79782.9383468808
2024-01-30,Display,10108.2393731068,8.0,1263529.92163835,26423.64301827894,18.029145362267364,120991.96133394697,1,0,0.09495704114347828,94957.04114347827
2024-01-31,Display,10507.95790279182,8.0,1313494.737848977,30802.582863714364,16.561771850712923,125409.63251149362,2,0,0.09847098933027505,98470.98933027506
2024-02-01,Display,21168.62892562981,8.0,2646078.6157037267,51087.59809209062,23.47780564593199,233967.08138586424,3,0,0.1859945120739216,185994.5120739216
2024-02-02,Display,18306.14908856044,8.0,2288268.636070055,45271.59677494561,27.055042726225416,206501.55542299125,4,0,0.16362700340817088,163627.0034081709
2024-02-03,Display,12560.090365793149,8.0,1570011.2957241435,30163.373488398825,15.034751599274433,147677.3037828269,5,1,0.11623752530551751,116237.52530551751
2024-02-04,Display,17817.701712644208,8.0,2227212.714080526,37471.67147436241,22.788168560646707,201695.9783776796,6,1,0.15972968378952432,159729.6837895243
2024-02-05,Display,12555.614595741905,8.0,1569451.824467738,31222.438188187494,13.16857182221194,147629.47928860085,0,0,0.11619926969030159,116199.26969030159
2024-02-06,Display,12735.055549815672,8.0,1591881.943726959,31792.187109788527,16.7683670488882,149544.3278040684,1,0,0.11773132403293288,117731.32403293288
2024-02-07,Display,19504.552208114797,8.0,2438069.0260143494,46303.83317914279,9.867642582658345,218143.9187024572,2,0,0.17308884936433283,173088.84936433283
2024-02-08,Display,19289.077662025986,8.0,2411134.707753248,49356.464877902254,17.91044110640127,216066.0077679354,3,0,0.17139803088910144,171398.03088910144
2024-02-09,Display,18890.774790967123,8.0,2361346.84887089,44370.102887353525,18.504343274645432,212207.28081272345,4,0,0.16826055234007553,168260.55234007552
2024-02-10,Display,20610.16616808444,8.0,2576270.771010555,55435.05285240012,20.752261523006144,228700.8135225119,5,1,0.18169327656779252,181693.27656779252
2024-02-11,Display,20974.44984989774,8.0,2621806.231237218,50243.11170857891,16.201640979322434,232140.9858525876,6,1,0.18450236418038576,184502.36418038578
2024-02-12,Display,10143.45460476144,8.0,1267931.8255951798,24262.060975364395,24.723554176608516,121382.22334026427,0,0,0.09526732598529684,95267.32598529685
2024-02-13,Display,24650.099262186974,8.0,3081262.407773372,61370.28139237334,21.71485864771856,265820.8338992666,1,0,0.2121419619329002,212141.9619329002
2024-02-14,Display,19093.15069470923,8.0,2386643.836838654,53143.99182820908,9.554624533514009,214170.7636475633,2,0,0.16985664319497407,169856.64319497408
2024-02-15,Display,10417.020716655205,8.0,1302127.5895819005,27620.38782968861,15.307903599838845,124406.92507678612,3,0,0.09767309750065918,97673.09750065918
2024-02-16,Display,14306.616988338792,8.0,1788327.123542349,33557.97352986404,23.4332125211736,166096.338615216,4,0,0.13100337497241155,131003.37497241155
2024-02-17,Display,14858.869865906818,8.0,1857358.733238352,41649.83660517001,19.5270177339224,171820.7503654328,5,1,0.13560566291953605,135605.66291953606
2024-02-18,Display,12081.357279741327,8.0,1510169.6599676658,31096.702464722297,12.892478757584067,142543.70703405392,6,1,0.11213351151225517,112133.51151225518
2024-02-19,Display,16941.221326759212,8.0,2117652.665844901,38886.51360885219,20.111356197169197,192983.976179356,0,0,0.15267631127870607,152676.31127870607
2024-02-20,Display,17626.162047783717,8.0,2203270.2559729647,41113.54538075471,20.029993162316384,199801.8887557505,1,0,0.15819488265476833,158194.88265476833
2024-02-21,Display,17331.787358314486,8.0,2166473.419789311,36160.51047672555,15.68074515520356,196880.25888891693,2,0,0.1558288925003229,155828.8925003229
2024-02-22,Display,8771.396499315033,8.0,1096424.562414379,22641.87339228173,16.7254584871485,106023.31803202513,3,0,0.08307640602579909,83076.4060257991
2024-02-23,Display,13370.639147128815,8.0,1671329.893391102,32069.20923707426,18.92209382831265,156285.4522115922,4,0,0.12313033336575821,123130.33336575821
2024-02-24,Display,18995.551406495066,8.0,2374443.925811883,45473.65054983247,27.532305959441988,213224.58411154823,5,1,0.1690874047696533,169087.4047696533
2024-02-25,Display,14869.93167229957,8.0,1858741.4590374464,38418.36452890645,26.7127807494858,171934.9284768941,6,1,0.13569752408751468,135697.52408751467
2024-02-26,Display,13008.761418743185,8.0,1626095.177342898,30190.378617833456,14.884269256640458,152455.18662813352,0,0,0.12006159721079666,120061.59721079667
